City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,acapulco de juarez,16.8634,-99.8901,30.9,66,40,4.12,MX,1694566028
1,hermanus,-34.4187,19.2345,8.92,79,0,4.88,ZA,1694566112
2,iskateley,67.6803,53.1512,11.13,84,13,7.38,RU,1694566112
3,yakeshi,49.2833,120.7333,10.61,52,100,2.34,CN,1694566112
4,west island,-12.1568,96.8225,25.99,78,75,6.17,CC,1694566112
5,kotlas,61.2611,46.6556,11.14,87,7,1.79,RU,1694565923
6,peterhead,57.5058,-1.7981,6.36,69,4,3.06,GB,1694566112
7,jiexiu,37.0244,111.9125,20.54,65,4,1.4,CN,1694566112
8,stanley,54.868,-1.6985,8.62,92,20,2.57,GB,1694566113
9,morondava,-20.2833,44.2833,23.22,69,0,4.53,MG,1694566113
10,byford,-32.2167,116.0,17.82,86,100,10.8,AU,1694566113
11,miandrivazo,-19.5167,45.4667,22.53,71,6,0.87,MG,1694566113
12,wailua homesteads,22.0669,-159.378,28.44,64,20,6.17,US,1694566113
13,port-aux-francais,-49.35,70.2167,1.49,76,98,11.44,TF,1694566113
14,mahalapye,-23.1041,26.8142,11.11,69,0,7.0,BW,1694566113
15,blackmans bay,-43.0167,147.3167,18.47,42,100,3.01,AU,1694566114
16,hesla,24.0667,85.8833,26.06,86,96,1.19,IN,1694566114
17,waitangi,-43.9535,-176.5597,11.57,69,6,5.36,NZ,1694566114
18,papatowai,-46.5619,169.4708,9.28,73,92,8.71,NZ,1694566114
19,al muwayh,22.4333,41.7583,28.9,28,97,3.41,SA,1694566114
20,daru,-9.0763,143.2092,27.06,66,98,7.43,PG,1694566114
21,adamstown,-25.066,-130.1015,18.46,59,100,11.17,PN,1694566115
22,talnakh,69.4865,88.3972,4.56,91,100,3.55,RU,1694566115
23,saipan,15.1355,145.701,31.39,74,40,5.14,MP,1694566115
24,chonchi,-42.6128,-73.8092,8.56,94,82,1.29,CL,1694566115
25,badger,64.8,-147.5333,13.41,66,0,0.0,US,1694566115
26,whitehorse,60.7161,-135.0538,13.9,53,75,6.17,CA,1694566022
27,hamilton,39.1834,-84.5333,20.24,90,100,2.06,US,1694565930
28,remire-montjoly,4.9167,-52.2667,27.02,83,0,2.06,GF,1694566115
29,ribeira grande,38.5167,-28.7,23.21,90,75,1.34,PT,1694566116
30,ushuaia,-54.8,-68.3,3.81,70,0,2.06,AR,1694566023
31,hawaiian paradise park,19.5933,-154.9731,27.8,70,0,1.79,US,1694566116
32,bredasdorp,-34.5322,20.0403,5.79,89,0,2.14,ZA,1694566116
33,grand falls-windsor,48.9332,-55.6649,13.06,94,100,2.41,CA,1694565963
34,pisco,-13.7,-76.2167,20.01,77,5,7.2,PE,1694566022
35,udangudi,8.4333,78.0167,26.37,78,100,4.7,IN,1694566116
36,massakory,12.996,15.7293,29.27,59,100,3.02,TD,1694566116
37,er regueb,34.8593,9.7865,23.7,70,17,2.57,TN,1694566117
38,beloyarskiy,63.7119,66.6722,11.11,85,14,0.45,RU,1694566117
39,picture rocks,32.3459,-111.2462,33.75,41,16,2.57,US,1694566117
40,petropavlovka,50.6114,105.3196,12.72,73,100,0.33,RU,1694566117
41,punta del este,-34.9667,-54.95,11.6,76,0,1.03,UY,1694566117
42,kill devil hills,36.0307,-75.676,26.66,78,0,2.57,US,1694565884
43,nyazepetrovsk,56.0531,59.6028,9.99,79,55,1.34,RU,1694566117
44,yellowknife,62.456,-114.3525,17.45,75,40,1.54,CA,1694566118
45,santa elena de uairen,4.6167,-61.1333,22.48,70,72,1.28,VE,1694566118
46,puerto natales,-51.7236,-72.4875,3.17,79,100,1.13,CL,1694566118
47,port mathurin,-19.6833,63.4167,22.47,72,100,6.97,MU,1694566118
48,tiksi,71.6872,128.8694,5.61,86,100,5.82,RU,1694566118
49,olonkinbyen,70.9221,-8.7187,3.59,65,71,3.37,SJ,1694566118
50,smithers,54.7804,-127.1743,16.18,67,40,3.09,CA,1694566118
51,college,64.8569,-147.8028,13.45,68,75,0.0,US,1694566119
52,kodiak,57.79,-152.4072,10.73,76,100,2.57,US,1694566119
53,cabo san lucas,22.8909,-109.9124,32.61,74,40,5.14,MX,1694565597
54,kulhudhuffushi,6.6221,73.07,27.89,75,100,4.27,MV,1694566119
55,st. john's,47.5649,-52.7093,14.32,93,75,5.14,CA,1694565701
56,bankim,6.083,11.4905,19.45,98,42,0.42,CM,1694566119
57,i-n-salah,27.1935,2.4607,33.71,18,7,5.25,DZ,1694566119
58,utrik,11.2278,169.8474,28.26,77,99,6.51,MH,1694566119
59,aykhal,66.0,111.5,2.98,96,100,9.95,RU,1694566120
60,fort atkinson,42.9289,-88.8371,16.07,94,80,0.61,US,1694566120
61,namibe,-15.1961,12.1522,16.53,92,26,1.69,AO,1694566120
62,gori,41.9842,44.1158,12.79,91,67,0.54,GE,1694566120
63,albany,42.6001,-73.9662,21.3,87,100,1.2,US,1694565916
64,grytviken,-54.2811,-36.5092,-9.75,75,61,4.95,GS,1694566120
65,bethel,41.3712,-73.414,22.57,85,0,1.54,US,1694566091
66,ghadamis,30.1337,9.5007,26.78,22,0,4.1,LY,1694566120
67,bikenibeu village,1.3673,173.1241,29.98,79,75,1.03,KI,1694566121
68,aldan,58.6031,125.3894,4.17,89,100,1.24,RU,1694566121
69,ilulissat,69.2167,-51.1,4.01,87,75,1.03,GL,1694566121
70,rayevskiy,54.0658,54.9468,11.86,85,100,0.42,RU,1694566121
71,mount gambier,-37.8333,140.7667,21.39,41,91,2.95,AU,1694566121
